"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 23 22:57:05 UTC 2022","Fri Sep 23 22:57:10 UTC 2022","5240","","Logining","","Logining","Verify Log in with valid credentials","Verify Log in with valid credentials",""
"passed","Fri Sep 23 22:56:51 UTC 2022","Fri Sep 23 22:56:58 UTC 2022","6277","","cart module funcionality","","cart module funcionality","Verify the ability ya add a sim to the Cart","Verify the ability ya add a sim to the Cart",""
"passed","Fri Sep 23 22:57:02 UTC 2022","Fri Sep 23 22:57:05 UTC 2022","2144","","Logining","","Logining","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 23:01:53 UTC 2022","Fri Sep 23 23:01:54 UTC 2022","792","","Main page ","","Main page ","Verify the pop-up functionality of the Pricing","Verify the pop-up functionality of the Pricing",""
"passed","Fri Sep 23 22:56:44 UTC 2022","Fri Sep 23 22:56:46 UTC 2022","2386","","cart module funcionality","","cart module funcionality","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 23:02:03 UTC 2022","Fri Sep 23 23:02:04 UTC 2022","1388","","Main page ","","Main page ","Check redirection to the 'Join to the waitlist' page and its activity","Check redirection to the 'Join to the waitlist' page and its activity",""
"passed","Fri Sep 23 23:00:16 UTC 2022","Fri Sep 23 23:00:22 UTC 2022","6236","","cart module funcionality","","cart module funcionality","Verify Log in with valid credentials","Verify Log in with valid credentials",""
"passed","Fri Sep 23 22:57:14 UTC 2022","Fri Sep 23 22:57:17 UTC 2022","3057","","Main page ","","Main page ","Verify functionality of Logo Icon 'Telnyx'","Verify functionality of Logo Icon 'Telnyx'",""
"passed","Fri Sep 23 22:57:20 UTC 2022","Fri Sep 23 22:57:20 UTC 2022","485","","Main page ","","Main page ","Verify the pop-up functionality of the Company","Verify the pop-up functionality of the Company",""
"passed","Fri Sep 23 23:02:09 UTC 2022","Fri Sep 23 23:02:11 UTC 2022","1923","","Messaging module","","Messaging module","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 23:05:27 UTC 2022","Fri Sep 23 23:05:34 UTC 2022","7066","","Verify module","","Verify module","Log in","Log in",""
"passed","Fri Sep 23 22:57:52 UTC 2022","Fri Sep 23 22:57:55 UTC 2022","2125","","Verify module","","Verify module","Open URL/accept cookies","Open URL/accept cookies",""
"broken","Fri Sep 23 23:03:18 UTC 2022","Fri Sep 23 23:04:18 UTC 2022","60001","","Messaging module","","Messaging module","Verify ability to edit created 'Verify Profile'","Verify ability to edit created 'Verify Profile'",""
"passed","Fri Sep 23 22:57:23 UTC 2022","Fri Sep 23 22:57:24 UTC 2022","1515","","Main page ","","Main page ","Check redirection to the 'Solutions' page and its activity","Check redirection to the 'Solutions' page and its activity",""
"passed","Fri Sep 23 22:57:35 UTC 2022","Fri Sep 23 22:57:40 UTC 2022","5006","","Messaging module","","Messaging module","Log in","Log in",""
"passed","Fri Sep 23 22:56:46 UTC 2022","Fri Sep 23 22:56:51 UTC 2022","5378","","cart module funcionality","","cart module funcionality","Verify Log in with valid credentials","Verify Log in with valid credentials",""
"passed","Fri Sep 23 23:01:31 UTC 2022","Fri Sep 23 23:01:38 UTC 2022","6342","","Logining","","Logining","Verify Log in with valid credentials","Verify Log in with valid credentials",""
"broken","Fri Sep 23 23:00:22 UTC 2022","Fri Sep 23 23:01:22 UTC 2022","60004","","cart module funcionality","","cart module funcionality","Verify the ability ya add a sim to the Cart","Verify the ability ya add a sim to the Cart",""
"passed","Fri Sep 23 22:57:19 UTC 2022","Fri Sep 23 22:57:20 UTC 2022","775","","Main page ","","Main page ","Verify the pop-up functionality of the Solutions","Verify the pop-up functionality of the Solutions",""
"passed","Fri Sep 23 22:57:12 UTC 2022","Fri Sep 23 22:57:14 UTC 2022","1940","","Main page ","","Main page ","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 23:05:25 UTC 2022","Fri Sep 23 23:05:27 UTC 2022","2072","","Verify module","","Verify module","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 23:01:52 UTC 2022","Fri Sep 23 23:01:53 UTC 2022","290","","Main page ","","Main page ","Verify the pop-up functionality of the Resources","Verify the pop-up functionality of the Resources",""
